,image_name,intersection,ratio,width,height
0,M_HS_m1_711_02483,14250,1.8241167434715821,84,93
0,M_HS_m1_721_00443,0,0.0,514,518
0,M_HS_m3_921_00137,9459,0.47059701492537315,150,134
0,M_HS_h2_1125_00156,16194,0.30156424581005586,150,358
0,M_HS_m1_724_00243,17520,0.37922077922077924,150,308
0,M_HA_m3_922_00097,16701,0.05922760479466629,613,460
0,M_HS_h1_1019_01456,2280,0.11372138261259913,123,163
0,M_HS_m1_712_01930,46962,1.8715925394548063,82,306
0,M_HA_m1_711_00128,0,0.0,547,308
0,M_HS_h1_1016_00827,47043,0.984039660293687,106,451
0,M_P_m1_723_00019,2592,0.0072,600,600
0,M_HS_m1_722_00810,3672,0.11941463414634146,150,205
0,M_P_m1_715_00135,6090,0.016916666666666667,600,600
0,M_HS_m1_723_02000,27093,0.38843010752688173,155,450
0,M_HS_m2_821_01050,30594,1.0465927750410509,144,203
0,M_HS_h1_1024_02620,6249,0.8154769672452042,79,97
0,M_HS_m2_811_00304,7656,0.5155555555555555,150,99
0,M_HS_m1_723_00063,11475,0.6652173913043479,150,115
0,M_HS_m1_715_00151,7719,0.43610169491525425,150,118
0,M_HS_h1_1024_00957,36081,1.3363333333333334,150,180
0,M_HS_m1_721_00319,1386,0.31708991077556625,47,93
0,M_HS_e6_622_00697,701712,0.5590573388465307,1390,903
0,M_P_m1_723_00570,1782,0.00495,600,600
0,M_HS_h3_1233_00630,19512,0.39287224403503473,129,385
0,M_HS_e6_623_00280,8004,0.464,150,115
0,M_HS_m1_713_00311,8376,0.4046376811594203,150,138
0,M_HS_m1_725_00049,13680,0.23149558330795006,147,402
0,M_HS_m3_921_02316,2160,0.016082197900379718,363,370
0,M_HS_m3_921_02316,0,0.0,363,370
0,M_P_m1_723_00088,6024,0.016733333333333333,600,600
0,M_HS_e4_416_00285,134784,0.264270953017713,542,941
0,M_HS_h1_1022_00345,25974,1.4151683556717882,133,138
0,M_HS_m1_724_00995,11244,0.5148351648351648,130,168
0,M_HS_e5_513_00099,131490,1.106818181818182,150,792
0,M_HS_e6_612_00288,30414,1.0785106382978724,150,188
0,M_HA_h1_1019_00025,22884,0.09317096407763432,589,417
0,M_HS_m3_921_02940,13905,0.35381679389312976,150,262
0,M_HA_m3_921_00022,6885,0.01115702479338843,935,660
0,M_HA_m3_921_00022,0,0.0,935,660
0,M_HA_m2_821_00241,0,0.0,613,460
0,M_HS_m3_921_01017,17526,0.9015432098765432,144,135
0,M_HS_e5_514_00364,262977,1.626326530612245,150,1078
0,M_HS_m3_922_00901,14070,0.638095238095238,150,147
0,M_HS_m1_725_00675,9825,0.4517241379310345,150,145
0,M_HS_m1_723_01692,675,0.026785714285714284,150,168
0,M_HS_h1_1023_00926,4446108,0.6371627085722098,2861,2439
0,M_P_m2_821_00108,134664,0.37406666666666666,600,600
0,M_HS_m3_922_01175,612,0.027945205479452055,150,146
0,M_HA_m1_714_00096,130248,0.12814639905548997,1200,847
0,M_HA_h2_1122_00005,0,0.0,1200,847
0,M_HS_m3_921_02717,6927,0.36078125,150,128
0,M_HS_h1_1023_00860,9990,0.880253766851705,117,97
0,M_P_m1_721_00642,57687,0.16024166666666667,600,600
0,M_HA_m3_921_00213,3234,0.042019645548568164,142,542
0,M_HS_h3_1215_02451,8964,0.20822299651567944,150,287
